iter	Logloss
0	0.6829160909
1	0.6729953789
2	0.6619357702
3	0.6507525078
4	0.6402371435
5	0.6297884519
6	0.6208267453
7	0.6111870247
8	0.6016190644
9	0.593418593
10	0.5848894197
11	0.5760851189
12	0.5669619596
13	0.5571662716
14	0.5490898393
15	0.5409637146
16	0.5329626982
17	0.5253331761
18	0.5173508816
19	0.5097493074
20	0.5028472864
21	0.4966259362
22	0.4895737291
23	0.4830659627
24	0.4768288152
25	0.4713414285
26	0.4655305804
27	0.4595649026
28	0.4533978762
29	0.4475919563
30	0.4426567662
31	0.4368234682
32	0.4314354929
33	0.4252064829
34	0.4209419598
35	0.4158253215
36	0.4113965492
37	0.4059214761
38	0.4016228936
39	0.3974894215
40	0.393757061
41	0.3892587007
42	0.3854938018
43	0.3815883694
44	0.3781498598
45	0.3741983217
46	0.3702464931
47	0.3664427482
48	0.3630469571
49	0.3599522609
50	0.3563265169
51	0.3528202584
52	0.3503444717
53	0.3466400649
54	0.3430726432
55	0.3390429061
56	0.3358833889
57	0.3327704628
58	0.3298038707
59	0.326398556
60	0.3232802283
61	0.320929263
62	0.3178941614
63	0.3152525202
64	0.3129835624
65	0.310376807
66	0.3071649201
67	0.3038162824
68	0.3010062974
69	0.2986299484
70	0.2965854281
71	0.2943407253
72	0.2918145932
73	0.2896667831
74	0.286834242
75	0.2848696346
76	0.2826772566
77	0.2808001181
78	0.2789331032
79	0.2770136723
80	0.2749790216
81	0.2728111116
82	0.2709022339
83	0.26916499
84	0.2673294153
85	0.2655404844
86	0.2639564109
87	0.2623761011
88	0.2607784836
89	0.2593688507
90	0.2577303478
91	0.2558635329
92	0.2544208052
93	0.2528648563
94	0.2515640341
95	0.2502310486
96	0.248829406
97	0.2475636272
98	0.2464809132
99	0.2451669853
100	0.2440907289
101	0.2426098252
102	0.2409613054
103	0.2397667143
104	0.2387293871
105	0.2376297735
106	0.2368314741
107	0.2357521479
108	0.2348267932
109	0.2339391629
110	0.23301875
111	0.2321482117
112	0.2314100316
113	0.2305620586
114	0.2293199768
115	0.2284184713
116	0.2276959082
117	0.2267732749
118	0.2258485481
119	0.2248104658
120	0.2241380522
121	0.2234945318
122	0.2226286099
123	0.2219383177
124	0.221346492
125	0.2206267837
126	0.2201392014
127	0.2194310331
128	0.2187161333
129	0.2179675478
130	0.2171491696
131	0.2165058986
132	0.2158217717
133	0.2151284738
134	0.2144927436
135	0.2137350048
136	0.2130836799
137	0.2124047628
138	0.211591031
139	0.2110619282
140	0.2104726935
141	0.2097076781
142	0.2091302723
143	0.2084839269
144	0.2078044004
145	0.2069503126
146	0.2062511727
147	0.2056122568
148	0.2050387468
149	0.2041113069
150	0.2036803424
151	0.2032805427
152	0.2026940783
153	0.2022605592
154	0.2017112337
155	0.2010533854
156	0.2005741024
157	0.1999867015
158	0.1995844498
159	0.1990125507
160	0.1986168169
161	0.1980197873
162	0.1974151911
163	0.1968472771
164	0.1964722735
165	0.1960182838
166	0.195413143
167	0.1948265742
168	0.1944409523
169	0.1939851944
170	0.1936183474
171	0.1930259157
172	0.192569904
173	0.1921922813
174	0.1917503376
175	0.1911954311
176	0.1907006443
177	0.1901662718
178	0.1898067988
179	0.1893824775
180	0.1888390589
181	0.188455985
182	0.187969247
183	0.1876425997
184	0.187207575
185	0.1866956499
186	0.1863307649
187	0.1860014625
188	0.185665745
189	0.1853799011
190	0.1851661241
191	0.1848169103
192	0.1844084572
193	0.1840787478
194	0.1839067513
195	0.1835466599
196	0.183244102
197	0.1828295823
198	0.1823485228
199	0.1820073721
200	0.1818117821
201	0.1812918383
202	0.1808745887
203	0.1805098129
204	0.1802330768
205	0.1797730345
206	0.179484448
207	0.1792539399
208	0.1789505717
209	0.1787215614
210	0.1784739854
211	0.1780697944
212	0.1777672784
213	0.1775213677
214	0.1770996484
215	0.1768285643
216	0.1765714557
217	0.1763561249
218	0.1760176491
219	0.1756210731
220	0.1752673544
221	0.1750787234
222	0.1747981721
223	0.1746209123
224	0.1741968617
225	0.1739245501
226	0.1736492802
227	0.1733058532
228	0.1729178841
229	0.172674803
230	0.1724010514
231	0.1721815081
232	0.1720186331
233	0.1716959956
234	0.1714544372
235	0.1710640817
236	0.1708133446
237	0.1705134471
238	0.1703178291
239	0.17005674
240	0.1698193928
241	0.1695927826
242	0.1693720721
243	0.1691706635
244	0.1689294853
245	0.1688258779
246	0.168616175
247	0.1684824752
248	0.1682539007
249	0.1679630499
250	0.1676277548
251	0.1673502727
252	0.1670257773
253	0.166894449
254	0.1666457779
255	0.1662033365
256	0.1659817228
257	0.1657599548
258	0.165569082
259	0.1654468072
260	0.1650976156
261	0.1647460109
262	0.1645537112
263	0.1642456405
264	0.1640178952
265	0.16377636
266	0.1635627976
267	0.1633067027
268	0.1630147453
269	0.1627243616
270	0.162528514
271	0.1622369266
272	0.161978379
273	0.1617724866
274	0.1616121789
275	0.1613252926
276	0.1610213854
277	0.1608121389
278	0.1606619388
279	0.1603144066
280	0.1601090932
281	0.1598544234
282	0.159709567
283	0.1594616325
284	0.1592274591
285	0.1590639309
286	0.1588776764
287	0.1586932647
288	0.1584524673
289	0.1583046417
290	0.158101614
291	0.1579409283
292	0.1577586396
293	0.1576198019
294	0.157446685
295	0.1571752374
296	0.1569666143
297	0.1566673242
298	0.1565187031
299	0.1563277459
300	0.1561326456
301	0.15598619
302	0.1559332391
303	0.1557960321
304	0.1556286746
305	0.1554965793
306	0.1553670679
307	0.1551454577
308	0.1549435567
309	0.1547801387
310	0.1546345124
311	0.1544011568
312	0.1542616737
313	0.1541497556
314	0.1539710539
315	0.1538727394
316	0.1536471647
317	0.1535506666
318	0.1532713663
319	0.1531251394
320	0.1530583355
321	0.1529812029
322	0.152857885
323	0.1527264506
324	0.1524950083
325	0.1522411466
326	0.1520886054
327	0.1519739212
328	0.1517713276
329	0.1516089832
330	0.1514127313
331	0.1512883461
332	0.1510898542
333	0.1509195918
334	0.1506910276
335	0.1504865815
336	0.150392276
337	0.150214599
338	0.1500251034
339	0.1498650537
340	0.1497390863
341	0.1496238021
342	0.1494869519
343	0.1493895361
344	0.1492655849
345	0.1491121603
346	0.1490066943
347	0.1488299798
348	0.1487042063
349	0.1485125083
350	0.1483600232
351	0.1481677526
352	0.1479905361
353	0.1478626347
354	0.1477713846
355	0.147540176
356	0.1474164777
357	0.1472788151
358	0.1471875451
359	0.1470500253
360	0.1469285008
361	0.1467167338
362	0.1466138419
363	0.1464470572
364	0.1462698667
365	0.1460065072
366	0.1458490517
367	0.1456379944
368	0.1454959429
369	0.1453914533
370	0.1452843569
371	0.1451960091
372	0.145116003
373	0.1449693194
374	0.1448155474
375	0.1447600189
376	0.1446799338
377	0.1445825909
378	0.144406217
379	0.1443501592
380	0.1442149759
381	0.1441414882
382	0.1439599864
383	0.1438719743
384	0.1437464543
385	0.1436265231
386	0.1435067556
387	0.1433907187
388	0.1432802915
389	0.143167557
390	0.1430605599
391	0.1429639019
392	0.1428143905
393	0.1427279771
394	0.1426538836
395	0.142566801
396	0.1424193496
397	0.1423198495
398	0.1422129094
399	0.1421352325
400	0.1419562536
401	0.1418138218
402	0.1417439903
403	0.1416918999
404	0.1416165843
405	0.1414972219
406	0.1414406366
407	0.1413062362
408	0.1412183455
409	0.1411505161
410	0.1410739145
411	0.1409297839
412	0.1407991796
413	0.1406074759
414	0.1405534602
415	0.1404769153
416	0.1403782615
417	0.1401716582
418	0.1400718027
419	0.1400041113
420	0.1399000391
421	0.1397951462
422	0.1396907812
423	0.1395888143
424	0.1394828668
425	0.1394012717
426	0.1393170739
427	0.13923327
428	0.1391563101
429	0.1390392531
430	0.1389127318
431	0.1387599105
432	0.138662771
433	0.1386080191
434	0.1385477374
435	0.1384839699
436	0.1383981721
437	0.1383093765
438	0.1381833095
439	0.1380970202
440	0.1380325935
441	0.137950096
442	0.1378210762
443	0.1376971677
444	0.1376153362
445	0.1375057736
446	0.1374044501
447	0.137310959
448	0.1372478804
449	0.1371702453
450	0.1370967998
451	0.1370049092
452	0.1368900492
453	0.1367723992
454	0.1366947853
455	0.1366518041
456	0.1365778207
457	0.1365268975
458	0.1364899262
459	0.1364339609
460	0.1363789088
461	0.1362599404
462	0.1361299994
463	0.1360404144
464	0.1359608106
465	0.1358747095
466	0.1358124075
467	0.1357338516
468	0.1356266454
469	0.1355215621
470	0.1354517666
471	0.1353955799
472	0.1353211791
473	0.135246052
474	0.135140405
475	0.1350650866
476	0.1350246263
477	0.1349656424
478	0.1349081455
479	0.1348343199
480	0.1347367476
481	0.1346019989
482	0.1345659823
483	0.1345187483
484	0.1344590491
485	0.1343014121
486	0.134193668
487	0.1341188155
488	0.1340770822
489	0.1340098794
490	0.1339180431
491	0.1339002917
492	0.1338118585
493	0.1336845693
494	0.133504703
495	0.1334120398
496	0.1332519416
497	0.1331758957
498	0.133069025
499	0.1330163767
500	0.1329155354
501	0.1328684054
502	0.1328108738
503	0.1327544505
504	0.1326652974
505	0.1325745876
506	0.1324988388
507	0.1324239806
508	0.1323257634
509	0.1322629079
510	0.1321983648
511	0.1321222424
512	0.1320177459
513	0.1319604951
514	0.1319029819
515	0.1318624369
516	0.1317577814
517	0.1316747668
518	0.1315867996
519	0.1314528263
520	0.1313166836
521	0.1312717745
522	0.1311412883
523	0.1310593198
524	0.1309916693
525	0.1308938738
526	0.1308492559
527	0.1307893709
528	0.1307100005
529	0.1306364494
530	0.13058745
531	0.1305490835
532	0.1305036798
533	0.1304152206
534	0.1303412327
535	0.1303126948
536	0.1302761059
537	0.1302056704
538	0.1301555785
539	0.1301131557
540	0.1300357834
541	0.1299756496
542	0.1299032754
543	0.1298522579
544	0.1297858772
545	0.1297572108
546	0.1296950329
547	0.1296214068
548	0.1295445508
549	0.1294812472
550	0.1294350326
551	0.1293497412
552	0.1292958311
553	0.129230795
554	0.1291851926
555	0.129134713
556	0.129052283
557	0.1289696583
558	0.1289314118
559	0.128877267
560	0.1288204348
561	0.1287879282
562	0.1287364465
563	0.1286950007
564	0.1285720999
565	0.1285262234
566	0.1284915956
567	0.1284185339
568	0.1283349214
569	0.1282964864
570	0.128167738
571	0.1281208833
572	0.1280690567
573	0.1280338703
574	0.1279884782
575	0.1279106404
576	0.1278284092
577	0.1277190295
578	0.1276268363
579	0.1275396389
580	0.1274177701
581	0.1273403846
582	0.1272857217
583	0.1272133839
584	0.1271532307
585	0.1270632272
586	0.1269248414
587	0.126892235
588	0.1268318869
589	0.1267792868
590	0.1267465684
591	0.1266861142
592	0.1266284553
593	0.1265844102
594	0.1265220208
595	0.1264289157
596	0.1263533587
597	0.1262971479
598	0.1262691649
599	0.1262324808
600	0.1261481738
601	0.1260394975
602	0.126006592
603	0.1259153021
604	0.1258379313
605	0.1257618237
606	0.1257043618
607	0.1256453437
608	0.1256130558
609	0.1255608266
610	0.1254998014
611	0.1254565419
612	0.1254507483
613	0.1253470638
614	0.1252870552
615	0.1252482085
616	0.1252194907
617	0.1251839789
618	0.1251369792
619	0.1250931389
620	0.1250436365
621	0.1250099313
622	0.1249697029
623	0.1249163831
624	0.1248199049
625	0.1247861324
626	0.124712817
627	0.1245945592
628	0.1245373545
629	0.1244589881
630	0.1244010001
631	0.1243181898
632	0.124265819
633	0.1242236573
634	0.124169654
635	0.1241388006
636	0.1241051809
637	0.1240703808
638	0.1240384816
639	0.1239834978
640	0.1239370669
641	0.1238375405
642	0.1237976518
643	0.1237477758
644	0.1237168733
645	0.1236880263
646	0.123647368
647	0.1235823172
648	0.123520202
649	0.1234868702
650	0.1233700065
651	0.1233338963
652	0.1232312457
653	0.1231868733
654	0.1231326655
655	0.1230381481
656	0.1229848608
657	0.1229194566
658	0.1228803431
659	0.1228353145
660	0.1227674341
661	0.1226673694
662	0.1226157249
663	0.1225425616
664	0.1224887061
665	0.1224288832
666	0.1223774888
667	0.1223134481
668	0.1222523211
669	0.1222116302
670	0.1221481565
671	0.1220607604
672	0.1220264848
673	0.1220047008
674	0.1219092041
675	0.1218642054
676	0.1218370522
677	0.1217959705
678	0.1217583322
679	0.1217067426
680	0.1216782144
681	0.1216328334
682	0.1215360347
683	0.1214765129
684	0.1214403267
685	0.1214019328
686	0.1213627834
687	0.1212861407
688	0.1212128158
689	0.1211776287
690	0.1211303395
691	0.1210859146
692	0.1210697284
